customer_type,total_revenue,avg_revenue,customers,customer_percentage,customer_revenue_percentage
One-time Customer,15064849.41,161.81537299004285,93099,96.88,94.1
Repeat Customer,944022.71,314.9892258925592,2997,3.12,5.9
